Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,340,TSProf,15,Polished,11/10/2018,https://www.youtube.com/watch?v=fEzK0OUxgQM,Nathan sharpened,2,Other,2,15
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,240,KO Worksharp,15,Polished,11/10/2018,https://www.youtube.com/watch?v=fEzK0OUxgQM,"Jethro sharpened (Ken Onion Worksharp, micro convex edge)",3,Other,3,15
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,280,Stones,15,Polished,11/10/2018,https://www.youtube.com/watch?v=fEzK0OUxgQM,Travis sharpened,4,Other,4,15
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,290,EdgePro,15,1100 grit + strop,3/22/2019,https://www.youtube.com/watch?v=Hz73CvjVbnA,,5,Other,5,15
Spyderco,Manbug,HAP40,72.70,1.30,4.00,8.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,3.00,173,Worksharp,20,,2/5/2017,https://www.youtube.com/watch?v=5-df9i6YQck,,1,Worksharp,1,20
Spyderco,Dragonfly II,HAP40,72.70,1.30,4.00,8.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,3.00,300,Worksharp,20,Polished (blue belt),3/4/2018,https://www.youtube.com/watch?v=6rqZhZegIHA,,2,Worksharp,2,20
Spyderco,Dragonfly II,HAP40,72.70,1.30,4.00,8.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,3.00,415,Lansky,17,"Toothy, stropped",3/4/2018,https://www.youtube.com/watch?v=6rqZhZegIHA,,1,Lansky,1,17
Shannon Steel Labs,Apex,Vanax SuperClean,75.30,0.35,18.20,0.00,0.00,0.00,1.10,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,3.50,300,Worksharp,20,Microconvex,7/28/2018,https://www.youtube.com/watch?v=ICrFN4vOrYM,,1,Worksharp,1,20
Shannon Steel Labs,Apex,Vanax SuperClean,75.30,0.35,18.20,0.00,0.00,0.00,1.10,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,3.50,550,KME,17,Toothy (600 grit),7/28/2018,https://www.youtube.com/watch?v=ICrFN4vOrYM,,1,KME,1,17
Shannon Steel Labs,Apex,Vanax SuperClean,75.30,0.35,18.20,0.00,0.00,0.00,1.10,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,3.50,680,KME,17,Polished (160K grit),7/29/2018,https://www.youtube.com/watch?v=xOUwjwt5SII,,2,KME,2,17
